date,shift,dispatcher,daily_ore_fed,warehouse_2_status,crushed_ore_sst,ore_to_int_bunkers,int_bunkers_status,processed_ore_mfc,processed_ore_moisture,dry_processed_ore,granodiorites,dikes,schists,pulp_density,cu_content_in_ores,adjusted_cu_content_in_ores,cu_content_in_waste,cu_metal_in_waste,cu_metal_in_concentrate,tech_extraction,load_extraction,extracted_cu_concentrate,cu_concentrate_moisture,cu_metal_in_concentrate_chem,liter_weight_in_thickener,timestamp,original_sheet
06.01.2025,2,Николинка Мутафова,19655.0,2.0,14497.0,15896.0,7.4,16300.0,0.091,14817,0.726,0.192,0.082,0.38,0.00239,0.0025750728757508,0.00029,4.29693,34.598419199999995,0.8798229670119808,0.8885809367691355,172.0,0.084,35.622507199999994,1.6,2025-01-06 14:00:00,Януари 
06.01.2025,3,Димитър Цончев,16170.0,1.0,14228.0,16477.0,7.5,16309.0,0.075,15086,0.681,0.252,0.067,0.38,0.00244,0.002410346307835,0.00029,4.37494,32.9313908,0.8822933765375516,0.8808630715659208,161.0,0.084,34.4798888,1.6,2025-01-06 22:00:00,Януари 
07.01.2025,1,Иванка Копаранска,5400.0,0.0,13089.0,14605.0,7.7,16230.0,0.081,14915,0.586,0.37,0.044,0.38,0.00256,0.0028129760509554,0.0003,4.4745,38.30153560000001,0.8840212802373345,0.8946014102099358,191.0,0.086,38.388822600000005,1.68,2025-01-07 06:00:00,Януари 
07.01.2025,2,Николинка Мутафова,20335.0,4.0,14258.0,15584.0,7.8,16415.0,0.078,15135,0.73,0.183,0.087,0.39,0.00255,0.0025084224380574,0.0003,4.5405,33.686083200000006,0.8835638555513697,0.881620627649848,168.0,0.084,35.1018528,1.6,2025-01-07 14:00:00,Януари 
07.01.2025,3,Димитър Цончев,20965.0,1.0,15004.0,17496.0,7.5,16322.0,0.075,15098,0.582,0.344,0.074,0.39,0.00258,0.00268558358723,0.0003,4.5294,37.3649598,0.8849483204134366,0.8895723964494239,189.0,0.086,40.0252482,1.6,2025-01-07 22:00:00,Януари 
08.01.2025,1,Иванка Копаранска,4597.0,0.0,9978.0,11331.0,8.7,15098.0,0.08,13890,0.739,0.227,0.034,0.37,0.00264,0.002684886537077,0.00031,4.3059,33.391162,0.8838507400299656,0.8858323729861929,170.0,0.086,33.779612,1.6,2025-01-08 06:00:00,Януари 
08.01.2025,2,Цвета Владова,22298.0,1.0,14760.0,15659.0,8.0,15036.0,0.09,13683,0.694,0.218,0.088,0.39,0.00254,0.00287543119199,0.00031,4.24173,35.34713,0.879208768431843,0.8934753601360463,179.0,0.09,36.97603,1.6,2025-01-08 14:00:00,Януари 
08.01.2025,3,Димитър Цончев,15855.0,1.0,14704.0,16400.0,7.7,15000.0,0.079,13815,0.683,0.21,0.107,0.39,0.00264,0.0027607391675714,0.00031,4.28265,34.4193696,0.8838549126781398,0.8890192336824883,176.0,0.087,35.078190400000004,1.6,2025-01-08 22:00:00,Януари 
09.01.2025,1,Иванка Копаранска,3349.0,0.0,13259.0,14984.0,7.3,14929.0,0.081,13720,0.595,0.242,0.163,0.4,0.0027,0.002728486377551,0.00033,4.5276,32.3747536,0.8791411075027585,0.8803970071141778,167.0,0.089,34.367748299999995,1.6,2025-01-09 06:00:00,Януари 
09.01.2025,2,Цвета Владова,19106.0,3.0,13973.0,15076.0,7.3,14863.0,0.085,13600,0.536,0.287,0.177,0.39,0.00254,0.0030947345514705,0.00032,4.352,38.4086318,0.8753407671681744,0.8979820692385859,199.0,0.087,38.0452578,1.6,2025-01-09 14:00:00,Януари 
09.01.2025,3,Димитър Цончев,19695.0,1.0,14726.0,16400.0,6.7,14948.0,0.083,13707,0.51,0.308,0.182,0.39,0.00241,0.0024994236521485,0.00032,4.38624,31.027392000000003,0.8685284344277818,0.8733370752077845,160.0,0.087,30.09248,1.6,2025-01-09 22:00:00,Януари 
10.01.2025,1,Николинка Мутафова,5564.0,0.0,9982.0,11529.0,7.8,14993.0,0.079,13809,0.557,0.317,0.126,0.39,0.00243,0.0026179841407777,0.00032,4.418880000000001,33.250589,0.8696088672972918,0.879141537332559,170.0,0.089,32.816953000000005,1.6,2025-01-10 06:00:00,Януари 
10.01.2025,2,Иванка Копаранска,20041.0,3.0,16579.0,17517.0,7.7,15965.0,0.073,14800,0.555,0.337,0.108,0.39,0.00233,0.0026222011891891,0.00031,4.588,34.6045392,0.8681970851058715,0.883058507694189,176.0,0.091,34.844515200000004,1.65,2025-01-10 14:00:00,Януари 
10.01.2025,3,Цвета Владова,18200.0,1.0,14162.0,15887.0,7.6,16199.0,0.074,15000,0.556,0.256,0.188,0.39,0.00221,0.0022095799999999,0.00031,4.65,29.1507312,0.8609561811947378,0.8609578293285731,148.0,0.094,28.7216496,1.6,2025-01-10 22:00:00,Януари 
11.01.2025,1,Николинка Мутафова,15275.0,0.0,16248.0,18637.0,6.8,16541.0,0.085,15135,0.574,0.312,0.114,0.39,0.00233,0.0024094586058804,0.00032,4.8432,32.276608,0.8639314316054284,0.8684936371242876,163.0,0.09,32.113445000000006,1.55,2025-01-11 06:00:00,Януари 
11.01.2025,2,Димитър Цончев,20070.0,3.0,17197.0,18637.0,6.6,16951.0,0.072,15731,0.564,0.309,0.127,0.39,0.00234,0.0023402953404106,0.00033,5.19123,32.802952000000005,0.8602659320297268,0.8603319841246827,164.0,0.09,31.86274,1.6,2025-01-11 14:00:00,Януари 
11.01.2025,3,Цвета Владова,17200.0,1.0,14350.0,16753.0,6.5,17151.0,0.078,15813,0.682,0.228,0.09,0.4,0.0025,0.0023766859419465,0.0003,4.7439,34.3964448,0.8811972789115646,0.8750190980918906,171.0,0.089,32.7919005,1.6,2025-01-11 22:00:00,Януари 
12.01.2025,1,Николинка Мутафова,12900.0,0.0,15224.0,16379.0,6.8,16856.0,0.093,15288,0.575,0.32,0.105,0.38,0.00269,0.0027329851844583,0.00033,5.04504,37.260443,0.8786377921115063,0.8805889789776141,185.0,0.087,37.7502675,1.65,2025-01-12 06:00:00,Януари 
12.01.2025,2,Димитър Цончев,18900.0,1.0,13977.0,15741.0,7.0,16562.0,0.083,15187,0.562,0.337,0.101,0.39,0.00264,0.0028309584381378,0.00034,5.1635800000000005,39.2706498,0.872572389953911,0.8813255607176617,197.0,0.086,38.0642612,1.6,2025-01-12 14:00:00,Януари 
12.01.2025,3,Иванка Копаранска,13800.0,0.0,14487.0,16160.0,6.9,16248.0,0.077,14997,0.508,0.393,0.099,0.39,0.00258,0.002743150736814,0.00033,4.94901,37.4472016,0.87338315952548,0.8810470443598697,184.0,0.089,38.050648,1.6,2025-01-12 22:00:00,Януари 
